ID,Date,Location,Governorate,Chemical,Perpetrator,Number of Deaths,Number of Injuries,Number of Injuries (Range),Source
15,16-Apr-14,al-Zowar,Idlib,Chlorine,Unconfirmed,-,35,20-100,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
16,18-Apr-14,al-Temana,Idlib,Chlorine,Syrian government,4,70,20-100,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
16,18-Apr-14,al-Temana,Idlib,Chlorine,Syrian government,-,-,20-100,https://www.hrw.org/news/2014/05/13/syria-strong-evidence-government-used-chemicals-weapon
17,18-Apr-14,Kafr Zita,Hama,Chlorine,Syrian government,-,-,< 20,https://www.hrw.org/news/2014/05/13/syria-strong-evidence-government-used-chemicals-weapon
17,18-Apr-14,Kafr Zita,Hama,Chlorine,Syrian government,-,2,< 20,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
17,16-Apr-16,"Kafr Zita & al-Temana
",Idlib,Unspecified,Unconfirmed,-,-,Unknown,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
17,18-Apr-14,"Kafr Zita & al-Temana
",Idlib,Unspecified,Unconfirmed,-,-,Unknown,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
17,18-Apr-14,Kafr Zita,Hama,-,Syrian government,-,-,< 20,JIM 3
18,21-Apr-14,Telmans_,Idlib,Chlorine,Syrian government,3,133-200,"100 - 1,000",https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
18,21-Apr-14,Telmans_,Idlib,Chemical Agents,Syrian government,-,-,"100 - 1,000",http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
18,21-Apr-14,Telmans_,Idlib,Chlorine,Syrian government,-,-,"100 - 1,000",JIM 3
18,21-Apr-14,Telmans_,Idlib,Chlorine,Syrian government,3,133,"100 - 1,000",https://www.hrw.org/news/2014/05/13/syria-strong-evidence-government-used-chemicals-weapon
19,29-Apr-14,al-Temana,Idlib,Unspecified,Unconfirmed,-,-,20-100,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
19,29-Apr-14,al-Temana,Idlib,-,Unconfirmed,-,-,20-100,JIM 3
19,30-Apr-14,al-Temana,Idlib,Chlorine,Unconfirmed,-,35,20-100,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
20,19-May-14,Kafr Zita,Hama,Chlorine,Unconfirmed,-,4,< 20,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
21,21-May-14,Kafr Zita,Hama,Chlorine,Unconfirmed,-,38,20-100,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
22,22-May-14,al-Temana,Idlib,Chlorine,Unconfirmed,4,12,< 20,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
23,22-May-14,Kafr Zita,Hama,Chlorine,Unconfirmed,-,17,< 20,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
24,25-May-14,al-Temana,Idlib,-,Unconfirmed,-,-,Unknown,JIM 3
24,26-May-14,al-Temana,Idlib,Chlorine,Unconfirmed,-,-,Unknown,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
25,29-May-14,al-Lataminah,Idlib,Chlorine,Unconfirmed,-,-,Unknown,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
26,27-Jul-14,Kafr Zita,Hama,Chlorine,Unconfirmed,-,-,Unknown,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
27,28-Aug-14,Al Sayyad,Hama,Chlorine,Syrian government,-,50,20-100,https://www.bellingcat.com/news/mena/2014/09/01/reports-of-new-improvised-chemical-weapons-used-by-the-syrian-air-force/
28,28-Aug-14,Kafr Zita,Hama,Chlorine,Unconfirmed,-,-,Unknown,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
29,30-Aug-14,Kafr Zita,Hama,Chlorine,Unconfirmed,-,-,Unknown,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
30,15-Feb-15,Darayya,Damascus,Sarin-Like Substance,Unconfirmed,-,-,Unknown,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1318-2015r1a1_e_.pdf
31,16-Mar-15,Qmenas,Idlib,Chlorine,Syrian government,-,26,"100 - 1,000",https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
31,16-Mar-15,Qmenas,Idlib,Inconclusive,Syrian government,-,-,"100 - 1,000","JIM 3, 4"
32,16-Mar-15,Qmenas and Sarmin,Idlib,Chlorine,Syrian government,6,110,"100 - 1,000",https://www.hrw.org/news/2015/04/13/syria-chemicals-used-idlib-attacks
32,16-Mar-15,Sarmin,Idlib,Chlorine,Syrian government,6,6,"100 - 1,000",https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
32,16-Mar-15,Sarmin,Idlib,Chlorine,Syrian government,6,-,"100 - 1,000",JIM 3
32,16-Mar-15,Sarmin,Idlib,Chlorine,Syrian government,5,100,"100 - 1,000",https://www.amnesty.org/en/latest/news/2015/03/syria-war-crime-chlorine-gas-attack/
33,23-Mar-15,Binnish,Idlib,Toxic Material,Syrian government,-,21,20-100,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
33,23-Mar-15,Qmenas and Sarmin,Idlib,Chlorine,Syrian government,-,20,"100 - 1,000",https://www.hrw.org/news/2015/04/13/syria-chemicals-used-idlib-attacks
34,23-Mar-15,Sarmin,Idlib,Chlorine,Syrian government,-,5,"100 - 1,000",https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
34,24-Mar-15,Binnish,Idlib,Chlorine,Syrian government,-,3,< 20,https://www.hrw.org/news/2015/04/13/syria-chemicals-used-idlib-attacks
34,24-Mar-15,Binnish,Idlib,Chlorine,Syrian government,-,-,< 20,JIM 3
35,26-Mar-15,Sarmin,Idlib,Chlorine,Syrian government,-,10,< 20,https://www.hrw.org/news/2015/04/13/syria-chemicals-used-idlib-attacks
35,26-Mar-15,Sarmin,Idlib,Chlorine,Syrian government,-,6,< 20,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
36,31-Mar-15,Idlib City,Idlib,Chlorine,Syrian government,-,-,20-100,https://www.hrw.org/news/2015/04/13/syria-chemicals-used-idlib-attacks
36,31-Mar-15,Idlib City,Idlib,Chlorine,Syrian government,-,38,20-100,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
37,15-Apr-15,Kurin,Idlib,Chlorine,Unconfirmed,-,-,Unknown,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
38,16-Apr-15,Idlib City,Idlib,Chlorine,Unconfirmed,-,20,20-100,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
39,27-Apr-15,Neirab,Idlib,Chlorine,Unconfirmed,-,-,Unknown,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
40,1-May-15,Neirab,Idlib,Chlorine,Unconfirmed,-,-,Unknown,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
41,2-May-15,Neirab,Idlib,Chlorine,Unconfirmed,2,10,< 20,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
42,2-May-15,Neirab,Idlib,Chlorine,Syrian government,2,10,< 20,https://www.hrw.org/news/2015/06/03/syria-new-chemical-attacks-idlib
42,2-May-15,Saraqeb,Idlib,Chlorine,Syrian government,-,75,20-100,https://www.hrw.org/news/2015/06/03/syria-new-chemical-attacks-idlib
43,2-May-15,Saraqeb,Idlib,Toxic Chemicals,Unconfirmed,-,70,20-100,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
44,7-May-15,Kafr Batikh,Idlib,Chlorine,Syrian government,-,17,< 20,https://www.hrw.org/news/2015/06/03/syria-new-chemical-attacks-idlib
45,16-May-15,Sarmin,Idlib,Chlorine,Unconfirmed,-,4,< 20,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
46,20-May-15,Idlib City,Idlib,Chlorine,Unconfirmed,-,32,20-100,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1319-2015_e_.pdf
47,21-Aug-15,Marea,Aleppo,Sulfur Mustard,Unconfirmed,85,1,< 20,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1320-2015_e_.pdf
47,21-Aug-15,Marea,Aleppo,Sulfur Mustard,ISIS,-,-,Unknown,JIM 3
48,5-Apr-16,Sheikh Maqsoud,Aleppo,Chlorine,Unconfirmed,-,4,< 20,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
48,7-Apr-16,Sheikh Maqsoud,Aleppo,Chlorine,Unconfirmed,-,8,< 20,https://www.amnesty.org/en/latest/news/2016/05/syria-armed-opposition-groups-committing-war-crimes-in-aleppo-city/
49,1-Aug-16,Saraqeb,Idlib,Chlorine,Syrian government,-,28,20-100,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
50,10-Aug-16,Zabdiya,Aleppo,Chlorine,Syrian government,3,60-65,20-100,https://www.hrw.org/news/2016/09/28/syria-new-deadly-chemical-attacks
51,16-Aug-16,Marea,Aleppo,Sulfur Mustard,ISIS,0,10,< 20,https://www.bellingcat.com/news/mena/2016/08/31/evidence-august-16-2016-chemical-attack-marea-isis/
51,16-Aug-16,Marea,Aleppo,Sulfur Mustard,ISIS,0,10,< 20,https://www.hrw.org/news/2016/09/28/syria-new-deadly-chemical-attacks
52,6-Sep-16,al-Sukkari,Aleppo,Chlorine,Syrian government,2,80,20-100,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
52,6-Sep-16,al-Sukkari,Aleppo,Chlorine,Syrian government,2,257,"100 - 1,000",https://www.hrw.org/news/2016/09/28/syria-new-deadly-chemical-attacks
53,15-Sep-16,Umm Hawsh,Aleppo,Sulfur Mustard,ISIS,-,2,< 20,https://www.hrw.org/news/2016/09/28/syria-new-deadly-chemical-attacks
53,16-Sep-16,Umm Hawsh,Aleppo,Sulfur Mustard,ISIS,-,2,< 20,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1491-2017_e_.pdf
53,16-Sep-16,Umm Hawsh,Aleppo,Sulfur Mustard,ISIS,-,2,< 20,JIM 7
53,16-Sep-16,Umm Hawsh,Aleppo,Mustard gas,ISIS,3,3,< 20,https://www.bellingcat.com/news/mena/2016/09/21/signs-mustard-gas-use-september-isis-chemical-attacks/
54,1-Oct-16,M10 Hospital,Aleppo,Chlorine,Syrian government,-,Several,< 20,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
55,18-Nov-16,"Masaken Hanano, Ard al-Hamra",Aleppo,Chlorine,Syrian government,-,12,< 20,https://www.bellingcat.com/news/mena/2016/12/19/the-cl2-before-the-storm/
55,18-Nov-16,"Masaken Hanano, Ard al-Hamra",Aleppo,Chlorine,Syrian government,-,12+,< 20,https://www.hrw.org/news/2017/02/13/syria-coordinated-chemical-attacks-aleppo
56,20-Nov-16,al-Sakhour,Aleppo,Chlorine,Syrian government,6,-,20-100,https://www.bellingcat.com/news/mena/2016/12/19/the-cl2-before-the-storm/
57,20-Nov-16,al-Sakhour,Aleppo,Chlorine,Syrian government,6,25,20-100,https://www.hrw.org/news/2017/02/13/syria-coordinated-chemical-attacks-aleppo
57,20-Nov-16,Tariq al-Bab,Aleppo,Chlorine,Syrian government,-,-,Unknown,https://www.bellingcat.com/news/mena/2016/12/19/the-cl2-before-the-storm/
58,20-Nov-16,Tariq al-Bab,Aleppo,Chlorine,Syrian government,-,At least 1,< 20,https://www.hrw.org/news/2017/02/13/syria-coordinated-chemical-attacks-aleppo
59,22-Nov-16,"Karm al-Qaterji, Daheert Awwad, Karm al-Jazmati",Aleppo,Chlorine,Syrian government,-,approx. 15,< 20,https://www.hrw.org/news/2017/02/13/syria-coordinated-chemical-attacks-aleppo
60,23-Nov-16,al-Jazmati and Ard al-Hamra,Aleppo,Chlorine,Syrian government,1,10,< 20,https://www.bellingcat.com/news/mena/2016/12/19/the-cl2-before-the-storm/
60,23-Nov-16,Karm al-Jazmati,Aleppo,Chlorine,Syrian government,1,13-Oct,< 20,https://www.hrw.org/news/2017/02/13/syria-coordinated-chemical-attacks-aleppo
61,28-Nov-16,"Karm al-Qaterji, Qadi Askar",Aleppo,Chlorine,Syrian government,-,40+,20-100,https://www.hrw.org/news/2017/02/13/syria-coordinated-chemical-attacks-aleppo
62,8-Dec-16,"al-Fardous, al-Maghayer, Kallesh",Aleppo,Chlorine,Syrian government,2,70+,20-100,https://www.hrw.org/news/2017/02/13/syria-coordinated-chemical-attacks-aleppo
63,8-Dec-16,Bustan al-Qasr,Aleppo,Chlroine,Syrian government,-,Several,< 20,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
64,9-Dec-16,Bustan al-Qasr,Aleppo,Chlorine,Syrian government,-,35,20-100,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
65,9-Dec-16,Kallaseh,Aleppo,Chlorine,Syrian government,-,50+,20-100,https://www.hrw.org/news/2017/02/13/syria-coordinated-chemical-attacks-aleppo
66,10-Dec-16,Al Hayat Clinic,Aleppo,Unspecified,Syrian government,-,-,Unknown,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
67,12-Dec-16,"al-Salaliyah, Uqayribat",Hama,Unconfirmed,Syrian government,42,"Numerous, unconfirmed number",Unknown,https://www.hrw.org/report/2017/05/01/death-chemicals/syrian-governments-widespread-and-systematic-use-chemical-weapons
68,12-Dec-16,"Jrouh, Uqayribat",Hama,Unconfirmed,Syrian government,25,"Numerous, unconfirmed number",Unknown,https://www.hrw.org/report/2017/05/01/death-chemicals/syrian-governments-widespread-and-systematic-use-chemical-weapons
69,8-Jan-17,Bsima,Damascus,Chlorine,Syrian government,-,46,20-100,https://www.hrw.org/report/2017/05/01/death-chemicals/syrian-governments-widespread-and-systematic-use-chemical-weapons
69,8-Jan-17,Bsima,Damascus,Chlorine,Syrian government,-,6,20-100,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
70,30-Jan-17,Marj al-Sultan,Damascus,Chlorine,Syrian government,-,11,< 20,https://www.hrw.org/report/2017/05/01/death-chemicals/syrian-governments-widespread-and-systematic-use-chemical-weapons
70,30-Jan-17,Sultan al-Marj,Damascus,Chlorine,Syrian government,-,11,< 20,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
71,9-Feb-17,Arbin,Damascus,Chlorine,Syrian government,-,6,< 20,https://www.hrw.org/report/2017/05/01/death-chemicals/syrian-governments-widespread-and-systematic-use-chemical-weapons
72,25-Mar-17,al-Lataminah,Hama,Chlorine,Syrian government,3,35,20-100,https://www.bellingcat.com/news/mena/2017/10/09/summary-open-source-evidence-march-25th-2017-chlorine-attack-al-lataminah-hama/
72,25-Mar-17,al-Lataminah,Hama,Chlorine,Syrian government,3,32,20-100,https://www.hrw.org/report/2017/05/01/death-chemicals/syrian-governments-widespread-and-systematic-use-chemical-weapons
72,25-Mar-17,al-Lataminah,Hama,Chlorine,Syrian government,3,32,20-100,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
73,29-Mar-17,Qaboun,Damascus,Chlorine,Syrian government,-,35,20-100,https://www.hrw.org/report/2017/05/01/death-chemicals/syrian-governments-widespread-and-systematic-use-chemical-weapons
73,29-Mar-17,Qaboun,Damascus,Chlorine,Syrian government,-,35,20-100,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
74,30-Mar-17,al-Lataminah,Hama,Unspecified,Syrian government,-,85,"100 - 1,000",http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
74,30-Mar-17,al-Lataminah,Hama,Sarin,Syrian government,-,169,"100 - 1,000",https://www.bellingcat.com/news/mena/2017/10/26/investigating-march-30-2017-sarin-attack-al-lataminah/
74,30-Mar-17,al-Lataminah,Hama,Unconfirmed,Syrian government,-,169,"100 - 1,000",https://www.hrw.org/report/2017/05/01/death-chemicals/syrian-governments-widespread-and-systematic-use-chemical-weapons
75,3-Apr-17,al-Lataminah,Hama,Chlorine,Syrian government,-,12,"100 - 1,000",https://www.hrw.org/report/2017/05/01/death-chemicals/syrian-governments-widespread-and-systematic-use-chemical-weapons
76,4-Apr-17,Khan Sheikhoun,Idlib,Sarin,Syrian government,92,hundreds,"100 - 1,000",https://www.hrw.org/report/2017/05/01/death-chemicals/syrian-governments-widespread-and-systematic-use-chemical-weapons
76,4-Apr-17,Khan Sheikhoun,Idlib,Sarin,Syrian government,Dozens,Hundreds,"100 - 1,000",http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
76,4-Apr-17,Khan Sheikhoun,Idlib,Sarin-Like Substance,Syrian government,50,201,"100 - 1,000",https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1510-2017_e_.pdf
76,4-Apr-17,Khan Sheikhoun,Idlib,Sarin,Syrian government,-,-,"100 - 1,000",JIM 7
77,7-Apr-17,al-Hayat Hospital,Aleppo,Unspecified,Syrian government,-,2,< 20,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
78,7-Apr-17,Qaboun,Damascus,Chlorine,Syrian government,-,2,< 20,https://www.hrw.org/report/2017/05/01/death-chemicals/syrian-governments-widespread-and-systematic-use-chemical-weapons
79,1-Jul-17,Ain Tarma,Damascus,Chlorine,Syrian government,-,-,Unknown,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
80,2-Jul-17,Zamalka,Damascus,Chlorine,Syrian government,-,-,Unknown,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
81,6-Jul-17,Jobar,Damascus,Chlorine,Syrian government,-,-,Unknown,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
82,13-Jan-18,Douma,Damascus,unknown,Syrian government,-,-,Unknown,https://www.bellingcat.com/news/mena/2018/02/01/third-time-year-chlorine-used-chemical-weapon-douma-damascus/
83,22-Jan-18,Douma,Damascus,Chlorine,Syrian government,-,21,20-100,https://www.bellingcat.com/news/mena/2018/02/05/details-january-22nd-2018-chlorine-attack-douma-damascus/
84,1-Feb-18,Douma,Damascus,Chlorine,Syrian government,-,4,< 20,https://www.bellingcat.com/news/mena/2018/02/12/new-details-february-1st-2018-chlorine-attack-douma-damascus/
85,4-Feb-18,Saraqeb,Idlib,Chlorine,Syrian government,-,11,< 20,https://www.amnesty.org/en/latest/news/2018/02/syria-witness-testimony-reveals-details-of-illegal-chemical-attack-on-saraqeb/
85,4-Feb-18,Saraqeb,Idlib,Chlorine,Syrian government,-,12,< 20,https://www.bellingcat.com/news/mena/2018/02/14/evidence-february-4th-2018-chlorine-attack-saraqib-idlib/
86,25-Feb-18,Eastern Ghouta,Damascus,Chlorine,Syrian government,2,18,< 20,https://www.bellingcat.com/news/mena/2018/03/15/syrian-forces-bombard-eastern-ghouta-chemical-weapons-fourth-consecutive-time-since-beginning-2018/
,,, ,,,,,,
